#{"t_start": 1776916360.9957356, "env_id": "None"}
r,l,t
-22.088917,23,9989.79446
100.0,1,9992.039519
11.463459,23,10017.30144
100.0,1,10019.55201
79.027952,23,10044.859926
100.0,1,10047.110183
69.775337,23,10073.01063
-100.0,1,10075.259898
65.887359,23,10100.571103
100.0,1,10102.819576
65.739452,23,10128.182076
100.0,1,10130.430278
73.208513,23,10155.789297
100.0,1,10157.992872
179.365202,22,10182.304452
16.234724,23,10207.659922
100.0,1,10209.909762
-100.0,1,10212.159946
100.0,1,10214.409935
-11.929294,23,10239.819695
100.0,1,10242.06988
84.347214,23,10267.383193
100.0,1,10269.629595
72.638284,23,10295.040789
100.0,1,10297.28983
96.096117,23,10322.543844
100.0,1,10324.850086
90.528246,23,10350.200294
100.0,1,10352.449756
57.057147,23,10378.359351
100.0,1,10380.61012
51.844569,23,10406.020729
100.0,1,10408.270633
-11.078819,23,10433.63007
100.0,1,10435.883503
70.988304,23,10461.190745
100.0,1,10463.441963
25.67458,23,10488.801011
100.0,1,10491.049639
70.394302,23,10516.409568
100.0,1,10518.660087
164.238226,19,10539.771902
-10.200855,23,10565.020724
100.0,1,10567.282242
101.245739,23,10592.629341
100.0,1,10594.833217
-3.774408,23,10620.241659
100.0,1,10622.49298
74.000666,23,10648.399153
100.0,1,10650.651524
-18.629999,23,10676.07028
100.0,1,10678.321084
62.421521,23,10703.679729
100.0,1,10705.930082
64.075189,23,10731.339649
100.0,1,10733.592035
96.2094,23,10758.99992
100.0,1,10761.250009
55.691022,23,10786.612661
100.0,1,10788.859955
75.756605,23,10814.219584
100.0,1,10816.422688
-100.0,1,10818.669258
100.0,1,10820.919236
90.653313,23,10846.289443
100.0,1,10848.544101
41.130806,23,10873.901126
100.0,1,10876.149785
46.40677,23,10901.559566
100.0,1,10903.809697
62.217724,23,10929.120179
100.0,1,10931.369589
60.773312,23,10957.230659
100.0,1,10959.437912
-12.192917,23,10984.781352
100.0,1,10987.100278
95.500579,23,11012.449075
100.0,1,11014.699974
98.317772,23,11040.059744
100.0,1,11042.31402
94.632206,23,11067.56958
100.0,1,11069.820805
-18.629999,23,11095.130994
100.0,1,11097.379622
48.619605,23,11122.79082
100.0,1,11125.040864
58.610205,23,11150.451459
100.0,1,11152.700191
71.662938,23,11178.070174
100.0,1,11180.322322
52.930622,23,11205.680355
100.0,1,11207.930423
-100.0,1,11210.129665
100.0,1,11212.379979
74.969641,23,11237.741355
100.0,1,11239.989323
73.731049,23,11265.900803
100.0,1,11268.150012
53.467738,23,11293.561358
100.0,1,11295.810818
24.740633,23,11321.174186
100.0,1,11323.421947
58.156104,23,11348.791911
100.0,1,11351.047267
69.928088,23,11376.340207
100.0,1,11378.650323
56.762743,23,11404.000452
100.0,1,11406.250011
63.714652,23,11431.6604
100.0,1,11433.910486
-11.931485,23,11459.320204
100.0,1,11461.56999
-12.216978,23,11486.931578
100.0,1,11489.179179
74.195642,23,11514.540203
-100.0,1,11516.789819
83.226309,23,11542.650146
100.0,1,11544.90185
67.462281,23,11570.369902
100.0,1,11572.622293
52.134769,23,11597.981413
100.0,1,11600.229899
107.573889,23,11625.640549
100.0,1,11627.890069
22.35852,23,11653.259737
100.0,1,11655.509409
60.314617,23,11680.874688
100.0,1,11683.119831
71.494771,23,11708.531586
100.0,1,11710.879361
81.214132,23,11736.180379
100.0,1,11738.491158
62.767144,23,11763.840971
100.0,1,11766.09506
179.368968,22,11790.45313
76.339002,23,11815.82471
100.0,1,11818.069575
18.386175,23,11843.981256
100.0,1,11846.230755
77.794218,23,11871.4421
100.0,1,11873.690702
68.944544,23,11899.099441
100.0,1,11901.351004
73.399361,23,11926.725254
100.0,1,11928.97554
87.97701,23,11954.24121
100.0,1,11956.490059
92.023276,23,11981.852173
100.0,1,11984.101139
56.958869,23,12009.510345
100.0,1,12011.762537
64.730583,23,12037.109848
100.0,1,12039.419813
67.991123,23,12064.720289
100.0,1,12066.971002
111.160005,23,12092.293211
100.0,1,12094.54029
73.792339,23,12119.949224
100.0,1,12122.152822
96.357409,23,12148.059526
100.0,1,12150.30996
94.771493,23,12175.720112
100.0,1,12177.972751
94.404348,23,12203.380233
100.0,1,12205.629487
74.788101,23,12230.990023
100.0,1,12233.192318
82.560741,23,12258.499574
100.0,1,12260.753249
179.312481,22,12285.060649
22.969688,23,12310.381013
100.0,1,12312.629608
56.684215,23,12337.929288
100.0,1,12340.243426
65.012715,23,12365.589476
100.0,1,12367.839705
-11.870337,23,12393.251776
100.0,1,12395.504239
90.220321,23,12421.460148
100.0,1,12423.714149
93.488188,23,12449.040265
100.0,1,12451.389806
-3.086697,23,12476.749552
100.0,1,12479.003603
64.018906,23,12504.359285
100.0,1,12506.562045
75.687041,23,12531.880136
100.0,1,12534.134804
81.989416,23,12559.640338
100.0,1,12561.890645
